,date,Unnamed: 0,ggsearch,facebook,display,promotion,leads_n,days_considered,considered_leads_n,days_purchase,purchase_leads,time_to_purchase,purchase_leads_fur,ggsearch_lag1,log_ggsearch,facebook_lag1,log_facebook,display_lag1,log_display,promotion_lag1,log_promotion,year_2023,year_2024,quarter_2,quarter_3,quarter_4,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
0,2022-02-06,3,6625.7300000000005,1003.4000000000001,725,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79871583497261,0.0,6.9111495220162675,0.0,6.586171668647778,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-02-13,42,17225.55,2956.4700000000003,1548,0,108,1.0,2.0,0.0,0.0,369.0,3.0,6625.7300000000005,9.754149026286447,1003.4000000000001,7.991751271458379,725.0,7.344719060609621,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-02-20,91,19430.0,2803.64,1603,0,144,5.0,4.0,0.0,0.0,493.5,5.0,17225.55,9.874573542886154,2956.4700000000003,7.938673855461707,1548.0,7.379632158847856,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-02-27,140,23455.15,2846.58,1652,0,161,15.5,5.0,0.0,0.0,223.66666666666669,4.0,19430.0,10.062845366393354,2803.64,7.953873556199165,1603.0,7.409741960134192,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-03-06,189,18955.71,2379.75,1610,0,96,8.0,2.0,0.0,0.0,147.0,1.0,23455.15,9.849860484911801,2846.58,7.774750723333537,1652.0,7.383989464189689,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-03-13,238,18774.23,2211.27,1546,0,123,0.0,0.0,0.0,0.0,0.0,0.0,18955.71,9.840240464339944,2379.75,7.701322294613379,1610.0,7.343426235615673,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-03-20,287,17773.96,2211.18,1556,0,138,0.0,0.0,0.0,0.0,648.0,4.0,18774.23,9.785489744380282,2211.27,7.7012815931924,1546.0,7.349873711165072,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-03-27,336,16802.67,2196.28,1652,3,122,13.0,2.0,0.0,0.0,187.0,2.0,17773.96,9.729293081930114,2211.18,7.694520303608294,1556.0,7.409741960134192,0.0,1.0986156219958876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-03,385,14601.56,2352.17,1636,4,103,18.5,8.0,0.0,0.0,400.5,6.0,16802.67,9.588883651988374,2196.28,7.763093589569481,1652.0,7.400009523275162,3.0,1.3862968611167654,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-04-10,434,22821.545,2358.5699999999997,1506,0,116,0.0,0.0,0.0,0.0,116.0,1.0,14601.56,10.035460325331076,2352.17,7.765810786405015,1636.0,7.317212414999945,4.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2022-04-17,483,24150.735,2344.23,1632,0,125,5.0,1.0,66.0,1.0,341.0,3.0,22821.545,10.092070093814264,2358.5699999999997,7.7597122730158565,1506.0,7.397561541651504,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2022-04-24,532,25853.645,2337.6,1631,0,106,7.0,1.0,119.0,2.0,189.0,1.0,24150.735,10.160206876185692,2344.23,7.756880045274327,1632.0,7.396948608752222,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-05-01,581,22068.670000000002,2250.52,1519,0,85,8.5,4.0,44.0,1.0,473.0,3.0,25853.645,10.001914235087856,2337.6,7.718916584050936,1631.0,7.325807509179051,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2022-05-08,630,20449.739999999998,2297.35,1619,0,105,34.0,1.0,81.0,1.0,333.0,3.0,22068.670000000002,9.925725447942698,2250.52,7.739511568094397,1519.0,7.3895639598542875,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2022-05-15,679,20670.71,2257.27,1604,0,116,0.0,1.0,81.0,1.0,417.0,3.0,20449.739999999998,9.936473001868167,2297.35,7.7219114019173745,1619.0,7.380255794660874,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2022-05-22,728,23590.56,2247.3,1564,0,119,26.0,4.0,0.0,0.0,424.0,4.0,20670.71,10.06860191141626,2257.27,7.717484779071731,1604.0,7.355001927499118,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2022-05-29,777,25050.8217,2294.9,1566,0,90,17.0,3.0,99.0,2.0,348.0,3.0,23590.56,10.128661908769422,2247.3,7.738444552918055,1564.0,7.356279882936445,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2022-06-05,826,24883.0992,2296.72,1613,0,77,4.0,1.0,105.0,1.0,355.0,2.0,25050.8217,10.121944105413704,2294.9,7.73923730148496,1566.0,7.385851084324837,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2022-06-12,875,28280.872,2319.08,1600,0,100,4.0,1.0,175.0,2.0,75.0,1.0,24883.0992,10.249940954400754,2296.72,7.748925838600845,1613.0,7.377758914477872,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2022-06-19,924,25239.059999999998,2283.65,1575,0,83,36.0,3.0,0.0,0.0,452.0,3.0,28280.872,10.136148073885577,2319.08,7.73353032348247,1600.0,7.36201055760894,0.0,-11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2022-06-26,973,18837.5338,2385.07,1551,3,83,0.0,0.0,148.0,2.0,359.0,2.0,25239.059999999998,9.843606637757293,2283.65,7.776983757189306,1575.0,7.346655169623992,0.0,1.0986156219958876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2022-07-03,1022,17014.8546,2266.67,1577,4,78,17.0,5.0,235.5,4.0,156.66666666666666,3.0,18837.5338,9.741842042085098,2385.07,7.726067077495001,1551.0,7.363279593304193,3.0,1.3862968611167654,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,2022-07-10,1071,19520.7953,2232.01,1620,0,54,60.0,3.0,245.0,2.0,153.0,2.0,17014.8546,9.87923560247726,2266.67,7.71065780825817,1577.0,7.3901814343992696,4.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2022-07-17,1120,23332.045,2279.21,1570,0,84,25.0,3.0,54.0,1.0,268.5,3.0,19520.7953,10.057583016981903,2232.01,7.731584175065946,1620.0,7.35883090471178,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2022-07-24,1169,29336.9726,2280.82,1516,0,83,37.0,2.0,54.0,1.0,347.0,2.0,23332.045,10.286603863346652,2279.21,7.732290310797438,1570.0,7.323830572798623,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,2022-07-31,1218,19076.555,2291.46,1672,0,75,51.5,5.0,229.0,4.0,242.0,3.0,29336.9726,9.856215373668809,2280.82,7.7369444523458855,1516.0,7.421775799625508,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,2022-08-07,1267,19781.0384,2241.81,1586,0,91,114.0,3.0,229.0,3.0,280.0,4.0,19076.555,9.892479101776487,2291.46,7.71503885873895,1672.0,7.368970408499964,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,2022-08-14,1316,26255.6787,2274.9700000000003,1461,0,113,54.0,4.0,0.0,0.0,241.0,4.0,19781.0384,10.175637576432942,2241.81,7.72972214888058,1586.0,7.286876418595327,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,2022-08-21,1365,27424.1734,2184.31,1616,0,100,103.0,4.0,140.0,1.0,335.0,2.0,26255.6787,10.21918014467098,2274.9700000000003,7.689055272762116,1461.0,7.38770924526916,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,2022-08-28,1414,21870.5585,2284.59,1641,0,103,30.0,3.0,116.0,2.0,396.0,2.0,27424.1734,9.992896651067639,2184.31,7.733941860533568,1616.0,7.403061097183936,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,2022-09-04,1463,16681.9342,2347.18,1544,0,75,4.0,2.0,280.0,4.0,239.0,2.0,21870.5585,9.72208162902205,2284.59,7.760969890822118,1641.0,7.342131737061405,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,2022-09-11,1512,23276.2425,2350.43,1513,0,95,1.0,1.0,181.0,2.0,148.0,2.0,16681.9342,10.05518848460869,2347.18,7.762353573377585,1544.0,7.321849720397741,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,2022-09-18,1561,27583.372499999998,2344.68,1582,0,103,17.0,2.0,0.0,0.0,137.0,1.0,23276.2425,10.224968424872305,2350.43,7.759904215279395,1513.0,7.366445154648711,0.0,-11.512925464970229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,2022-09-25,1610,24809.725000000002,2353.7200000000003,1617,2,106,4.5,3.0,195.5,3.0,103.66666666666669,3.0,27583.372499999998,10.118990992787259,2344.68,7.763752338520036,1582.0,7.388327865761399,0.0,0.6931521805474454,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,2022-10-02,1659,16840.105,2144.84,1587,5,75,3.0,3.0,153.0,3.0,720.0,4.0,24809.725000000002,9.731518523525095,2353.7200000000003,7.670820241167751,1617.0,7.369600726827606,2.0,1.6094399124321004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,2022-10-09,1708,19643.86,1950.0,1511,0,105,8.0,3.0,320.0,2.0,315.0,3.0,16840.105,9.88552010078473,2144.84,7.575584656685997,1587.0,7.320526968890873,5.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,2022-10-16,1757,23343.045,1914.36,1521,0,107,81.5,4.0,170.0,2.0,219.5,3.0,19643.86,10.058054360484354,1950.0,7.557138647324584,1511.0,7.327123298833914,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,2022-10-23,1806,19136.325,1909.78,1631,0,107,10.0,2.0,223.5,3.0,691.0,3.0,23343.045,9.859343640824356,1914.36,7.554743336396708,1521.0,7.396948608752222,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,2022-10-30,1855,22225.935,1955.57,1597,0,100,4.0,2.0,328.5,5.0,65.66666666666667,3.0,19136.325,10.009015129688406,1909.78,7.578436995139979,1631.0,7.375882154476753,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,2022-11-06,1904,24345.245000000003,1985.5566132802383,1471,0,114,11.0,1.0,279.0,3.0,84.0,1.0,22225.935,10.100091832645026,1955.57,7.5936545685631724,1597.0,7.293697727399534,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,2022-11-13,1953,19185.745,2148.14,1611,0,128,0.0,1.0,422.5,4.0,635.0,5.0,24345.245000000003,9.861922834869477,1985.5566132802383,7.672357635068775,1471.0,7.384610389384299,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,2022-11-20,2002,23170.925,2125.6800000000003,1596,0,84,27.5,5.0,27.0,1.0,731.0,3.0,19185.745,10.050653539374458,2148.14,7.661847034873815,1611.0,7.375255784275418,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,2022-11-27,2051,20412.62,2047.1299999999999,1492,0,76,0.0,0.0,210.5,2.0,233.0,2.0,23170.925,9.9239086165021,2125.6800000000003,7.624194096101713,1596.0,7.307872787466119,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,2022-12-04,2100,17079.1302,1984.67,1584,0,76,21.0,4.0,217.0,4.0,72.0,2.0,20412.62,9.745612541572799,2047.1299999999999,7.593207937487987,1492.0,7.367708578687503,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,2022-12-11,2149,18742.2998,1968.04,1583,0,95,137.0,2.0,366.0,5.0,559.5,5.0,17079.1302,9.838538270247746,1984.67,7.5847934076900945,1584.0,7.3670770661981315,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,2022-12-18,2198,14279.173999999999,1942.31,1529,0,80,10.0,1.0,125.33333333333331,3.0,114.0,1.0,18742.2998,9.566557391783663,1968.04,7.571633270508584,1583.0,7.332369212469285,0.0,-11.512925464970229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,2022-12-25,2247,14584.921699999999,1889.58,1531,1,66,28.0,2.0,184.0,3.0,0.0,0.0,14279.173999999999,9.58774351444374,1942.31,7.544109866428631,1529.0,7.333676402189362,0.0,9.999950000398841e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,2023-01-01,2296,16236.3866,1824.1599999999999,1584,6,51,1.0,1.0,0.0,0.0,71.0,1.0,14584.921699999999,9.695010089574772,1889.58,7.508874891567385,1531.0,7.367708578687503,1.0,1.7917611358933327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2023-01-08,2345,16421.3173,1861.55,1565,0,53,0.0,0.0,190.0,2.0,73.0,1.0,16236.3866,9.70633560573246,1824.1599999999999,7.529164758383006,1584.0,7.35564110936403,6.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2023-01-15,2394,14958.36,1814.5900000000001,1554,0,63,63.0,2.0,223.0,3.0,370.0,2.0,16421.3173,9.613025620519208,1861.55,7.503614831374843,1565.0,7.348587537362599,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2023-01-22,2443,14257.2557,1815.74,1516,0,74,12.0,1.0,141.0,1.0,116.0,1.0,14958.36,9.565021228743976,1814.5900000000001,7.504248382612406,1554.0,7.323830572798623,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2023-01-29,2492,12963.410899999999,1745.22,1532,0,103,68.5,4.0,196.0,4.0,140.0,2.0,14257.2557,9.469886122778512,1815.74,7.46463590691831,1516.0,7.3343293568279515,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2023-02-05,2541,12614.9416,2004.41,1599,0,122,59.0,2.0,317.0,3.0,84.0,2.0,12963.410899999999,9.44263723244772,1745.22,7.60310503708627,1532.0,7.377133719087863,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2023-02-12,2590,15969.7932,1975.12,1535,0,104,0.0,1.0,343.0,2.0,127.5,2.0,12614.9416,9.678454292471498,2004.41,7.588384440046093,1599.0,7.3362856665359555,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2023-02-19,2639,15279.0133,2025.95,1479,0,79,42.0,2.0,617.0,7.0,0.0,0.0,15969.7932,9.634235486682645,1975.12,7.613794010269269,1535.0,7.299121469472125,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2023-02-26,2688,14236.5474,1896.84,1639,0,89,0.0,0.0,0.0,0.0,152.0,2.0,15279.0133,9.563567698405556,2025.95,7.547944627949231,1479.0,7.401841584845111,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2023-03-05,2737,15333.4989,1861.06,1551,0,100,7.0,1.0,457.0,3.0,0.0,0.0,14236.5474,9.63779518522308,1896.84,7.528901502226601,1639.0,7.346655169623992,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2023-03-12,2786,15434.877,1828.26,1440,0,62,0.0,1.0,71.0,1.0,159.0,2.0,15333.4989,9.644384968650545,1861.06,7.511119979317256,1551.0,7.272398399514491,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2023-03-19,2835,14953.4063,1831.31,1577,0,92,10.5,3.0,84.0,2.0,392.0,3.0,15434.877,9.61269439968843,1828.26,7.512786842194324,1440.0,7.363279593304193,0.0,-11.512925464970229,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2023-03-26,2884,14934.0887,1801.6000000000001,1606,2,77,6.0,1.0,197.5,3.0,116.0,1.0,14953.4063,9.611401711714606,1831.31,7.496430443495993,1577.0,7.381501900733357,0.0,0.6931521805474454,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2023-04-02,2933,11731.2778,1843.75,1509,5,72,42.0,3.0,161.0,2.0,184.0,1.0,14934.0887,9.370013870923378,1801.6000000000001,7.5195568255118586,1606.0,7.3192024653947545,2.0,1.6094399124321004,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2023-04-09,2982,12496.8197,1893.2,1478,0,66,56.0,1.0,346.5,3.0,166.0,2.0,11731.2778,9.43322946771932,1843.75,7.546023803314155,1509.0,7.298445108274047,5.0,-11.512925464970229,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2023-04-16,3031,15327.134399999999,1829.4499999999998,1555,0,75,0.0,1.0,126.0,1.0,209.0,2.0,12496.8197,9.637380027452203,1893.2,7.5117706596803675,1478.0,7.349230831044203,0.0,-11.512925464970229,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2023-04-23,3080,18771.0612,1864.8899999999999,1582,0,101,0.0,1.0,212.0,2.0,172.5,4.0,15327.134399999999,9.840071665542302,1829.4499999999998,7.530957354467457,1555.0,7.366445154648711,0.0,-11.512925464970229,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2023-04-30,3129,20377.33636182565,1842.79,1552,0,59,11.333333333333332,6.0,170.0,1.0,282.0,5.0,18771.0612,9.922178600090987,1864.8899999999999,7.519036011948739,1582.0,7.347299707186463,0.0,-11.512925464970229,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2023-05-07,3178,11835.2139,1807.23,1476,0,52,2.0,1.0,205.0,2.0,672.0,3.0,20377.33636182565,9.37883459614047,1842.79,7.499550570814945,1552.0,7.2970910119354855,0.0,-11.512925464970229,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
